City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
319,Marawi,PH,7.9986,124.2928,84.0,72,100,overcast clouds
320,Placerville,US,38.7296,-120.7986,60.8,14,1,clear sky
321,Te Anau,NZ,-45.4167,167.7167,52.16,81,90,overcast clouds
322,Cidreira,BR,-30.1811,-50.2056,69.21,87,82,broken clouds
323,Ust-Tsilma,RU,65.441,52.1498,25.18,52,47,scattered clouds
324,Ravar,IR,31.2656,56.8055,72.05,19,99,overcast clouds
325,Baherden,TM,38.4362,57.4316,77.59,23,2,clear sky
326,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.48,84,100,overcast clouds
327,Kenai,US,60.5544,-151.2583,42.8,49,1,clear sky
328,Asau,RO,46.4333,26.4,46.0,47,88,overcast clouds
329,Copiapo,CL,-27.3667,-70.3333,59.0,82,90,overcast clouds
330,Ust-Maya,RU,60.4167,134.5333,36.19,55,100,overcast clouds
331,Tabatinga,BR,-4.2525,-69.9381,77.0,100,40,scattered clouds
332,Baishishan,CN,43.5833,127.5667,55.83,35,44,scattered clouds
333,Tygda,RU,53.1167,126.3333,60.03,35,66,broken clouds
334,Port Blair,IN,11.6667,92.75,87.01,62,17,few clouds
335,Pangkalanbuun,ID,-2.6833,111.6167,87.89,57,92,moderate rain
336,Saint John,CA,45.2727,-66.0677,36.0,100,90,light rain
337,Maceio,BR,-9.6658,-35.7353,73.4,100,40,mist
338,Gramoteino,RU,54.5368,86.3839,41.02,53,100,overcast clouds
339,Chimbote,PE,-9.0853,-78.5783,66.47,90,100,overcast clouds
340,Salalah,OM,17.0151,54.0924,86.0,62,20,few clouds
341,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,few clouds
342,Fengzhen,CN,40.4394,113.1536,62.92,10,0,clear sky
343,Santa Barbara,US,34.7333,-120.0343,63.0,100,1,clear sky
344,Zhezkazgan,KZ,47.8043,67.7144,68.77,18,69,broken clouds
345,Lorengau,PG,-2.0226,147.2712,84.29,68,66,broken clouds
346,Laguna,US,38.421,-121.4238,68.0,22,1,clear sky
347,Barpali,IN,21.2,83.5833,103.08,14,8,clear sky
348,Victor Harbor,AU,-35.5667,138.6167,64.0,73,83,broken clouds
349,Katsuura,JP,35.1333,140.3,68.0,39,20,few clouds
350,Neryungri,RU,56.6709,124.6491,27.7,91,100,snow
351,Griffith,US,41.5284,-87.4237,35.01,93,1,clear sky
352,Bowen,AU,-20.0167,148.2333,77.0,73,90,overcast clouds
353,Biak,ID,-0.9131,122.8766,82.15,72,66,broken clouds
354,Rio Grande,BR,-32.035,-52.0986,68.23,82,21,few clouds
355,Souillac,MU,-20.5167,57.5167,78.8,89,75,light rain
356,Bhor,IN,18.1667,73.85,95.34,17,3,clear sky
357,Tilichiki,RU,60.4667,166.1,28.72,89,42,scattered clouds
358,Baruun-Urt,MN,46.6806,113.2792,67.06,11,36,scattered clouds
359,Shelburne,CA,44.0787,-80.2041,35.6,93,1,clear sky
360,Okato,NZ,-39.2,173.8833,55.99,75,94,overcast clouds
361,Governador Valadares,BR,-18.8511,-41.9494,67.14,89,84,broken clouds
362,Kapoeta,SS,4.7717,33.5903,85.24,45,94,overcast clouds
363,Lujan,AR,-34.5703,-59.105,68.0,99,4,clear sky
364,Frumusani,RO,44.2961,26.3256,48.99,77,100,overcast clouds
365,Norman Wells,CA,65.282,-126.8329,30.2,80,20,few clouds
366,Haveri,IN,14.8,75.4,92.68,30,5,clear sky
367,Faya,SA,18.3851,42.4509,62.6,51,0,clear sky
368,Vostok,RU,46.4856,135.8833,52.09,33,50,scattered clouds
369,Katherine,AU,-14.4667,132.2667,89.6,23,62,broken clouds
370,Ancud,CL,-41.8697,-73.8203,50.0,100,90,light rain
371,Harper,LR,4.375,-7.7169,77.86,84,98,overcast clouds
372,Sur,OM,22.5667,59.5289,89.19,40,89,overcast clouds
373,Ocampo,MX,21.65,-101.5,57.99,14,1,clear sky
374,Darab,IR,28.7519,54.5444,76.75,12,100,overcast clouds
375,Katangli,RU,51.7102,143.2326,34.12,96,92,overcast clouds
376,Banjarmasin,ID,-3.3244,114.591,91.4,46,20,few clouds
377,Malkara,TR,40.89,26.9011,48.43,86,56,broken clouds
378,Point Pedro,LK,9.8167,80.2333,87.96,66,80,broken clouds
379,Rock Sound,BS,24.9,-76.2,76.98,79,9,clear sky
380,Vila Velha,BR,-20.3297,-40.2925,69.8,94,0,clear sky
381,Najran,SA,17.4924,44.1277,77.0,22,0,clear sky
382,Ilo,PE,-17.6394,-71.3375,66.69,82,57,broken clouds
383,Corsicana,US,32.0954,-96.4689,50.0,87,20,few clouds
384,Magadan,RU,59.5667,150.8,31.66,98,100,light snow
385,Bireun,ID,5.203,96.7009,85.86,64,81,broken clouds
